Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
博;はく;доктор, PhD, широкие знания;博士 (はかせ) — доктор, PhD 博物館 (はくぶつかん) — музей;Человек с PhD надзирает за десятью (十) полями (田) и обладает ШИРОКИМИ ЗНАНИЯМИ, которые можно измерить (寸).
黒;くろ, こく;чёрный;黒い (くろい) — чёрный 黒板 (こくばん) — классная доска;Почва (土) со дна свежевспаханного поля (田) течёт ЧЁРНОЙ как чернила.
白;しろ, はく, びゃく;белый;白い (しろい) — белый 白鳥 (はくちょう) — лебедь 白夜 (びゃくや) — полночное солнце;Удар спичкой по солнцу сначала может дать очень горячий БЕЛЫЙ свет.
的;まと, てき;мишень, цель, адъективное окончание;目的 (もくてき) — цель 日本的 (にほんてき) — типично японский 的 (まと) — цель, мишень;В поле белого (白) человек тянет плуг прямо по почве на ЦЕЛЬ, в которую он целился.
皆;みな, みんな, かい;все, всё;皆さん (みなさん) — все 皆 (みんな) — все, каждый 皆目 (かいもく) — полностью;Сравнивая (比) ВСЁ, что белое (白) как солнце, вы всё равно найдёте различия.
皇;こう, おう;император;皇居 (こうきょ) — Императорский дворец 教皇 (きょうこう) — Папа Римский 法皇 (ほうおう) — Папа;ИМПЕРАТОРЫ и короли (王) в чужой стране носят белое (白).
赤;あか, せき, しゃく;красный;赤い (あかい) — красный 赤十字 (せきじゅうじ) — Красный Крест;Корни почвы (土) КРАСНЫЕ по цвету.
緑;みどり, りょく;зелёный;緑 (みどり) — зелёный 新緑 (しんりょく) — новые зелёные листья;Густо посеянная трава становится ЗЕЛЁНОЙ слоями, когда её хорошо поливают (水).
青;あお, せい;синий, зелёный;青い (あおい) — синий 青春 (せいしゅん) — юность;Растение пускает второй набор ветвей в СИНЮЮ луну (月).
変;か(わる), へん;необычный, изменять, странный;大変 (たいへん) — очень, сильно 変更 (へんこう) — изменение, модификация 変わる (かわる) — изменяться;НЕОБЫЧНЫЕ корнеплоды, используемые в рагу, готовящемся на складном столе под крышкой, пахнут немного СТРАННО.
黄;き, おう, こう;жёлтый;黄色 (きいろ) — жёлтый, янтарный 硫黄 (いおう) — сера;На гриле десятки (十) людей готовы есть органическую ЖЁЛТУЮ тыкву и другие овощи, нанизанные сбоку (横).
橙;だいだい, とう;горький апельсин;橙 (だいだи) — горький апельсин 橙赤色 (とうせきしょく) — оранжево-красный, огненно-красный;Если вы взбираетесь (登) на гору рядом с деревом (木), чтобы увидеть ОРАНЖЕВЫЙ закат, возьмите много бобов (豆) для энергии.
紫;むらさき, し;фиолетовый, лиловый;紫 (мурасаき) — фиолетовый 紫外 (しがい) — ультрафиолетовый;Когда мешаете ФИОЛЕТОВЫЙ виноград для виноградного сока ковшом, остановитесь (止), если пролили на одежду, потому что нити (糸) окрасятся.
灰;はい, かい;пепел, кремировать;灰色 (はいいろ) — серый, пепельный цвет 灰になる (はいになる) — быть кремированным;В тени утёса (厂) нашли ПЕПЕЛ от костра (火).
紅;べに, くれない, こう, く;малиновый, глубокий красный;紅茶 (こうちゃ) — чёрный чай 口紅 (くちべに) — помада 唐紅 (からくれない) — малиновый;Через нить (糸) дорогостоящих строительных (工) проектов книги компании ушли в глубокий МАЛИНОВЫЙ оттенок красного.
茶;ちゃ, さ;чай;お茶 (おちゃ) — чай 茶道 (さどう) — чайная церемония;ЧАЙНЫЕ листья, как срезанная трава, сушатся после того, как человек (人) срывает их с растения и держит пучками по 10 (十).
人;ひと, じん, にん;человек;日本人 (にほんじん) — японец 何人 (なんじん) — какой национальности?;ЧЕЛОВЕК стоит на двух ногах.
仙;せん;отшельник, волшебник;仙台 (せんだい) — Сендай [город] 水仙 (すいせん) — нарцисс;ОТШЕЛЬНИК часто живёт в горах и иногда может быть ВОЛШЕБНИКОМ.
仕;つか(える), し;служить, прислуживать (господину, самураю);仕事 (しごと) — работа 仕方 (しかた) — способ делать;Вассал СЛУЖИЛ своему самураю и ПРИСЛУЖИВАЛ во всех его нуждах.
佐;さ;помощник, помогать;補佐 (ほさ) — помощь 佐藤 (さとう) — Сато [фамилия];Человек слева (左) ПОМОГАЕТ другому забраться на двутавровую балку.
侍;さむらい, じ;самурай, официант, служить;侍 (さむらい) — самурай 侍する (じする) — служить;САМУРАЙ сопровождает своего господина в храм (寺).
仲;なか, ちゅう;посредник, отношения;仲良し (なかよし) — близкий друг 仲人 (ちゅうにん) — сват;ПОСРЕДНИК встает в середину (中) вещей, чтобы помочь создать новые ОТНОШЕНИЯ.
佑;ゆう, う;помогать, ассистировать;天佑 (てんゆу) — божественная помощь 佑介 (ゆうすけ) — Юсукэ [мужское имя];Человек приходит ПОМОГАТЬ человеку справа (右) забраться на ящик.
住;す(む), じゅう;жить, проживать;住む (すむ) — проживать 住宅 (じゅутаку) — жильё;Мужчина должен был спросить у домовладельца разрешения ПРОЖИВАТЬ в здании, где он хотел ЖИТЬ.
付;つ(く), つ(け), ~づけ, ふ;прикреплять, прилипать;付ける (つける) — прикреплять 日付 (ひづけ) — дата 付箋 (ふせん) — стикер, пост-ит;Мужчина измеряет (寸) пространство, чтобы ПРИКРЕПИТЬ новые приспособления и ПРИКЛЕИТЬ картинки к стене.
休;やす(む), きゅう;отдыхать;休む (やすむ) — отдыхать 休日 (きゅうじつ) — выходной;Человек может ОТДОХНУТЬ, прислонившись к дереву (木).
供;そな(える), とも, きょう, く;сопровождать;子供 (こども) — ребёнок 供出 (きょうしゅつ) — поставка;Третий человек СОПРОВОЖДАЕТ своих двух друзей за столом.
作;つく(る), さく, さ;делать, строить;作る (つくる) — делать 作文 (さくぶん) — сочинение 作業 (さぎょう) — работа, операция;Этот мужчина ДОДЕЛЫВАЕТ последние штрихи на своём новом книжном шкафу.
伸;の(ばす), しん;расширять, растягивать, увеличивать;伸ばす (のばす) — удлинять 伸縮 (しんしゅく) — эластичный;Человек РАСТЯГИВАЕТСЯ, чтобы прочитать высокий дорожный знак, пока рекламодатель РАСШИРЯЕТ свой бизнес.
伝;つた(える), でん;передавать;伝える (つたえる) — передавать 手伝う (てつだう) — помогать руками 伝説 (でんせつ) — легенда, фольклор;Человек ПЕРЕДАЁТ две (二) строки информации мне.
使;つか(う), し;использовать;使う (つかう) — использовать 使用 (しよう) — использование, применение;Мужчина ИСПОЛЬЗУЕТ настольную пилу, чтобы разрезать один кусок дерева.
借;か(りる), しゃ;занимать, арендовать;借りる (かりる) — арендовать 借金 (しゃっきん) — долг;По-настоящему старые (昔) вещи только ЗАНИМАЮТСЯ нами на десятки (十) и десятки дней (日), или АРЕНДУЮТСЯ.
入;い(れる), はい(る), にゅう;входить, вставлять;入る (はいる) — входить 入れる (いれる) — вставлять 入学式 (にゅうがくしき) — церемония поступления в школу;Человек (人) откидывается назад, когда ВХОДИТ в комнату.
内;うち, ない;внутри, в пределах, между, дом;内 (うち) — внутри, дом 案内 (あんない) — информация, проводить;Человек (人) висит ВНУТРИ ограждения.
今;いま, こん, きん;сейчас;今 (いま) — сейчас 今週 (こんしゅう) — эта неделя;СЕЙЧАС посмотрите на человека (人) в воздухе, перепрыгивающего барьер.
会;あ(う), かい, え;встреча, встречаться, ассоциация, присоединяться;会社 (かいしゃ) — компания 会う (あう) — встречаться 社会 (しゃかい) — общественные науки;Я ВСТРЕЧУСЬ с другим, чтобы отрепетировать одну или две (二) строки.
傘;かさ, さん;зонт;傘 (かさ) — зонт 傘下 (さんか) — подчинённый;Один мужчина действует как ЗОНТ для четырёх-десяти (十) своих ближайших друзей.
全;まったく, すべて, ぜん;весь, полностью;全部 (ぜんぶ) — всё 全て (すべて) — всё 全く (まったく) — действительно, правда;ВСЕ люди в ЦЕЛОМ царстве короля (王) были его подданными.
化;ば(ける), か, け;изменять, принимать форму, -изация;文化 (ぶんか) — культура, цивилизация;Человек использует ложку специй, чтобы ИЗМЕНИТЬ вкус и сделать его ПРИНЯТЬ ФОРМУ нового блюда.
何;なん, なに, か;что;何 (なに) — что 何 (なん) — или;Когда кто-то удивляется, ЧТО это за вещь, он может измерить её размер и попробовать на вкус.
仮;かり, か;временный, предполагаемое (имя), неформальный;仮想 (かそう) — виртуальный 仮に (かりに) — временно;Мужчина устанавливает ВРЕМЕННЫЙ стол у основания утёса (厂).
例;たと(える), れい;пример;例えば (たとえば) — например 例 (れい) — пример;Человек держит кандзи для вечера (夕), разрезанный ножом, как ПРИМЕР того, как максимизировать усилия.
便;たよ(り), べん, びん;удобство;便利 (べんり) — удобный 郵便 (ゆうびん) — почта;Высокий почтовый ящик — УДОБСТВО для высокого человека.
傷;きず, いた(む), しょう;рана, ранить, боль;傷心 (しょうしん) — разбитое сердце 負傷 (ふしょう) — рана 傷む (いたむ) — повреждаться, портиться;Человек с слишком большим солнцем (日) может ПОЛУЧИТЬ РАНУ или волосы могут выпасть от стресса РАН.
俵;たわら, ひょう;мешок, тюк;俵数 (ひょうすう) — число тюков 米俵 (こめだわра) — мешок риса;Богатый купец нёс МЕШКИ одежды (衣) к лорду-самураю (士) как налог.
個;こ;индивидуальный, счётчик для предметов;ドーナツ 二個 (ドーナツ にこ) — два пончика 個人 (こじん) — частное лицо, индивидуум;У человека коробка с ИНДИВИДУАЛЬНЫМ объектом, который очень старый (古).
値;ね, あたい, ち;цена, стоимость, ценность;価値 (かち) — ценность 値段 (ねだん) — цена 値する (あたいする) — стоить, заслуживать;Человек должен ЦЕНИТЬ товары на полке своими глазами (目) хотя бы десять (十) раз, чтобы проверить СТОИМОСТЬ.
倍;ばい;двойной, вдвое, раз;二倍 (にばい) — вдвое 倍数 (ばいすう) — кратное;Человек, стоящий (立) на ящике, слышится ВДВОЕ громче.
側;がわ, そば, そく;сторона;右側 (みぎがわ) — правая сторона 側面 (そくめん) — сторона, аспект, профиль;Человек открывает раковину (貝), вставляя нож в её СТОРОНУ.
他;ほか, た;другой, иной;他に (ほかに) — кроме того 他人 (たにん) — другой человек, незнакомец;Человек смотрит на поплавок в пруду, чтобы увидеть, поймал ли он ДРУГУЮ рыбу.
停;てい;остановка, halting;停止 (ていし) — прерывание, запрет バス停 (ばすてい) — автобусная остановка;Человек ОСТАНАВЛИВАЕТСЯ на автобусной ОСТАНОВКЕ, чтобы прочитать расписание.
位;くらい, ぐらい, い;ранг, примерно, около;どれくらい (どれくらい) — как долго/далеко/много 一位 (いちい) — первое [место];Человек слева ПРИМЕРНО вполовину шире стоящего человека.
件;けん;дело, случай, вопрос;事件 (じけん) — инцидент, дело 件数 (けんすう) — число [вещей];Сколько коров (牛) было у мужчины — ВОПРОС его богатства и показывал состояние его ДЕЛ.
介;かい;посредничать, касаться себя;自己紹介 (じこしょうかい) — самопредставление 介入 (かいにゅう) — вмешательство;Когда мужчина (人) КАСАЕТСЯ деталей ситуации, в которой он должен ПОСРЕДНИЧАТЬ, он отодвигает занавеску, чтобы показать нужное.
倉;くら, そう;склад, погреб;倉 (くら) — склад 倉庫 (そうこ) — склад 米倉 (こめぐら) — рисовый амбар;Мужчина (人) открывает дверь, чтобы спуститься в ПОГРЕБ за едой для ртов (口) своих детей.
俳;はい;хайку, актёр;俳優 (はいゆう) — актёр 俳人 (はいじん) — поэт хайку;АКТЁР проходит через отверстие в колючей занавеске, готовый к критикам.
悲;かな(しい), ひ;горевать, грустный;悲しい (かなしい) — грустный 悲劇 (ひげき) — трагедия, катастрофа;Нет смысла ГОРЕВАТЬ, как пройти через колючую калитку, просто вложите сердце (心) и не грустите, если не получится.
非;あら(ず), ひ;ошибка, отрицательный, не-;非常口 (ひじょうぐち) — аварийный выход 非ず (あらず) — не так, не беда;Думать о проходе через эту колючую калитку было бы ОШИБКОЙ.
保;たま(つ), ほ;защищать, гарантировать, сохранять;保険 (ほけん) — страховка 保つ (たもつ) — сохранять [мир];Человек ЗАЩИЩАЕТ рот (口) существа, живущего на вершине дерева (木).
係;かか(る), かかり, けい;ответственный, обязанность;係長 (かかりちょう) — менеджер 関係 (かんけい) — отношение;ОТВЕТСТВЕННЫЙ режет длинные нити (糸).
低;ひく(い), てい;короткий, нижний, скромный;背が低い (せがひくい) — низкий [рост] 最低 (さいてい) — наименьший, худший;Мужчина подложил блок под угол этой тканой вещи, потому что один угол был слишком КОРОТКИМ.
修;おさ(める), しゅう;дисциплина, изучать, овладевать, вести себя достойно;修理 (しゅうり) — ремонт 修める (おさめる) — вести себя;Даже сидя за складным столом, ДИСЦИПЛИНИРОВАННЫЙ мужчина со посохом должен ВЕСТИ СЕБЯ ДОСТОЙНО, нося украшения своих предков.
仁;じん, に, にん;добродетель, милосердие;仁義 (じんぎ) — человечность и справедливость 仁王 (におう) — стражи-дэвы;Щедрый человек (人) часто имеет две (二) сильные ценности: МИЛОСЕРДИЕ и ДОБРОДЕТЕЛЬ.
病;や(む), びょう, へい;болезнь, болеть;病気 (びょうき) — болезнь 病みつき (やみつき) — пристрастие 流行病 (りゅうこうびょう) — эпидемия;Человек (人), забравшись на пунктирный утёс (广), подхватил две болезни и теперь БОЛЕН, лежит под одеялом внутри (内).
信;しん;вера, правда, доверие;信じる (しんじる) — верить 信号 (しんごう) — светофор;Человек, которому вы ДОВЕРЯЕТЕ, говорит (言) ПРАВДУ.
気;き, け;дух, атмосфера, настроение;電気 (でんき) — электричество, [электрический] свет 人気 (にんき) — популярность;Один (一) энергичный человек (人) в возбуждённом НАСТРОЕНИИ вот-вот спарасейлит с утёса и приземлится там, где стоит крестик.
以;も(って), もち(いる), い;посредством, потому что;以上 (いじょう) — больше чем 以て (もって) — заранее;ПОСРЕДСТВОМ зеркала человек (人) рассматривает своё отражение.
似;に(る), じ;походить, имитировать;似ている (にている) — похожий 類似品 (るいじひん) — имитация, похожие изделия;Человек (人) использует зеркало, чтобы ПОХОДИТЬ на того, кем он хочет казаться другим.
良;よ(い), い(い), りょう;хороший, приятный, умелый;良い (よい, いい) — хороший 最良 (さいりょう) — лучший, идеальный;Одна вещь в солнечный день (日), которая ХОРОШАЯ, УМЕЛО отмечена крестиком.
食;く(う), た(べる), しょく;есть, еда;食う (くう) — есть, зарабатывать на жизнь 食べる (たべる) — есть 食事 (しょくじ) — приём пищи;Самая лучшая вещь (良) под солнцем (日) под моей крышей — это ЕДА.
根;ね, こん;корень, радикал;屋根 (やね) — крыша 根拠 (こんきょ) — основа, фундамент 根性 (こんじょう) — характер, темперамент;Дерево (木) — хороший (良) РАДИКАЛ и является радикалом этого кандзи.
飯;めし, はん;еда, варёный рис;ご飯 (ごはん) — варёный рис, еда ただ飯 (ただめし) — бесплатная еда;Ешьте (食) ПИРОЖОК с варёным РИСОМ у утёса (厂) за пикниковым столом.
飲;の(む), いん;пить, принимать (лекарство);飲む (のむ) — пить, принимать лекарство 飲食禁止 (いんしょくきんし) — запрещено есть и пить;Вместе с едой (食) идёт закупоренная фляжка, из которой ПЬЮТ.
養;やしな(う), よう;воспитывать, растить, развивать;養う (やしなう) — растить, содержать 栄養 (えいよう) — питание;Овец (羊) РАСТИЛИ и РАЗВИВАЛИ ради шерсти, а потом ели (食) их мясо.
酒;さけ, しゅ;сакэ, алкоголь;酒 (さけ) — сакэ, алкоголь 日本酒 (にほんしゅ) — японское сакэ;Вода брызжет на бок бутылки САКЭ, в которой осталось немного на дне, и пробка сверху.
節;ふし, せつ;сезон, период, случай, стих, мелодия;季節 (きせつ) — сезон 節目 (ふしめ) — поворотный пункт;Хороший (良) СЕЗОН начинается с побегов бамбука (竹).
家;いえ, や, うち, か, け;дом, семья;家 (いえ) — дом 家主 (やぬし) — домовладелец 家 (うち) — дом 家族 (かぞく) — семья 中川家 (なかがわけ) — семья Накагава;В некоторых частях Азии свиней держали под ДОМОМ, чтобы они ели объедки и содержали всё в чистоте.
父;ちち, ふ, とう;отец;父 (ちち) — [мой] отец お父さん (おとうさん) — отец;У ОТЦА большие широкие плечи и широкая стойка.
族;ぞく;племя, семья;家族 (かぞく) — семья 民族 (みんぞく) — этническая группа, народ 部族 (ぶぞく) — племя, клан;Мужчина с луком (矢) сосредотачивается в направлении (方) своей СЕМЬИ, чтобы кормить своё ПЛЕМЯ дома под крышей.
母;はは, ぼ, かあ;мать;母 (はは) — [моя] мать お母さん (おかあさん) — мать;Эта МАТЬ с двумя грудями очень в стиле Пикассо.
兄;あに, けい, きょう, にい;старший брат;兄 (あに) — мой старший брат お兄さん (おにいさん) — старший брат другого 兄弟 (きょうだい) — братья;Мой СТАРШИЙ БРАТ с большим ртом расхаживает на длинных ногах.
弟;おとうと, だい, てい, で;младший брат;弟 (おとうと) — мой младший брат 弟子 (でし) — ученик;У МОЛОДШЕГО БРАТА был лук со стрелами, меч и самурайский шлем.
婚;こん;брак;結婚 (けっこん) — брак 離婚 (りこん) — развод;В БРАКЕ есть много слоёв, которые открываются о женщине (女) каждый день (日).
税;ぜい;налог, пошлина;税金 (ぜいきん) — налог 脱税 (だつぜい) — уклонение от налогов;Мой старший брат (兄) был таким злым, что взимал со мной НАЛОГ за лазание по роскошному дереву (禾) во дворе!
妹;いもうと, まい;младшая сестра;妹 (いもうと) — моя младшая сестра 姉妹 (しまい) — сёстры;У МОЛОДШЕЙ СЕСТРЫ есть домик на дереве.
夫;おっと, ふう, ぶ;муж;夫婦 (ふうふ) — супружеская пара 元夫 (もとおっと) — бывший муж 大丈夫 (だいじょうぶ) — в порядке;Если есть МУЖ, обычно двое обнимаются и влюблены.
男;おとこ, だん, なん;мужчина;男 (おとко) — мужчина 男の子 (おとこのこ) — мальчик 男性 (だんせい) — мужчина;Традиционно МУЖЧИНЫ — это те, кто использует силу (力) на рисовом поле (田).
嫁;よめ, とつ(ぐ), か;невеста, выходить замуж (в семью мужа);お嫁さん (およめさん) — невеста 転嫁 (てんか) — перекладывание [вины, расходов], повторный брак;Как только женщина (女) стала НЕВЕСТОЙ, она стала частью дома (家).
婦;ふ;дама, женщина, жена, невеста;夫婦 (ふうふ) — супружеская пара 主婦 (しゅふ) — домохозяйка;Стереотипно ЖЕНЩИНА (女) складывала одежду на столе после сушки на верёвке.
女;おんな, め, じょ, にょ, にょう;женщина;女の人 (おんなのひと) — женщина 彼女 (かのじょ) — она 王女 (おうじょ) — принцесса;Эта ЖЕНЩИНА расслабляется, ноги скрещены, руки открыто приветствуют.
姑;しゅうとめ, こ;свекровь;姑 (しゅうとめ) — свекровь 姑息 (こそく) — нечестный, подлый;СВЕКРОВЬ иногда — женщина (女) со старыми (古), но полезными знаниями.
孫;まご, そん;внук/внучка, потомок;孫 (まご) — внук/внучка 子孫 (しそん) — потомок, потомство;ВНУК — это ребёнок (子), который может стать нитью (糸), продолжающей родословную.
氏;うじ, し;фамилия, клан;氏人 (うじびと) — член клана 氏名 (しめい) — полное имя;Как эта ткань, моя ФАМИЛИЯ имеет слои истории, сотканные разными членами нашего КЛАНА.
娘;むすめ;дочь, девушка;娘 (むすめ) — дочь 箱入り娘 (はこいりむすめ) — девушка, выросшая в тепличных условиях;Хорошая (良) ДОЧЬ-девочка (女) часто приносит родителям хорошие улыбки.
民;たみ, みん;народ, нация, подданные;民族 (みんぞく) — народ, этническая группа 難民 (なんみん) — беженец;Разные рты (口) ЛЮДЕЙ и языки сплетены вместе, образуя ПОДДАННЫХ НАЦИИ.
好;この(む), す(く), こう;любить, нравиться;好む (このむ) — предпочитать 好き (すき) — нравиться 好物 (こうぶつ) — любимая еда;По стереотипу женщины (女) обычно ЛЮБЯТ детей (子).
共;とも, きょう;вместе, оба, все;共通 (きょうつう) — общий 両方共 (りょうほうとも) — оба;Друзья стоят ВМЕСТЕ на вершине вулкана.
仔;こ, し;потомство;仔犬 (こいぬ) — щенок (также 子犬);Ребёнок человека (子) — это его ПОТОМСТВО.
好;この(む), す(く), こう;любить, нравиться;好む (このむ) — предпочитать 好き (すき) — нравиться 好物 (こうぶつ) — любимая еда;По стереотипу женщины (女) обычно ЛЮБЯТ детей (子).
共;とも, きょう;вместе, оба, все;共通 (きょうつう) — общий 両方共 (りょうほうとも) — оба;Друзья стоят ВМЕСТЕ на вершине вулкана.
仔;こ, し;потомство;仔犬 (こいぬ) — щенок (также 子犬);Ребёнок человека (子) — это его ПОТОМСТВО.
子;こ, し, す;ребёнок;子供 (こども) — ребёнок 帽子 (ぼうし) — шляпа 様子 (ようす) — внешность, состояние;Маленького РЕБЁНКА часто пеленали и привязывали за спину родителя, чтобы идти по делам.
妻;つま, さい;жена, супруга;妻 (つма) — жена 後妻 (ごさい) — вторая жена;Художник любит свою ЖЕНУ, но так же крепко держит любимую кисть (聿), как и женщину (女), которую любит.
委;ゆだ(ねる), い;комитет, поручать;委員会 (いいんかい) — комитет 教育委員会 (きょういくいいんかい) — совет по образованию 委ねる (ゆだねる) — поручать;Роскошные деревья (禾) в этом парке были ПОРУЧЕНЫ КОМИТЕТУ по сохранению богатой женщиной (女).
姿;すがた, し;фигура, форма, облик;姿勢 (しせい) — осанка, поза 男姿 (おとこすがた) — мужской облик;Встретив мужчину, женщина (女) должна смотреть сначала на его сердце, потом (次) на ФОРМУ и ФИГУРУ.
始;はじ(める), し;начинать, начинаться;始める (はじめる) — начинать 開始 (かいし) — начало;Когда женщина (女) дома даёт отмашку, вы услышите из её рта (口), что вечеринка может НАЧИНАТЬСЯ.
姫;ひめ, き;принцесса;姫路市 (ひめじし) — город Химэдзи 白雪姫 (しらゆきひめ) — Белоснежка 美姫 (びき) — прекрасная дева;ПРИНЦЕССА — молодая женщина (女), которую иногда нужно рассматривать через ширму.
臣;しん, じん;вассал, подданный, министр;大臣 (だいじん) — министр кабинета;За столом МИНИСТРА много ячеек, куда складывать записки о ПОДДАННЫХ королевства.
要;かなめ, い(る), よう;нужда, ключевой пункт;必要 (ひつよう) — необходимый, существенный 要る (いる) — нуждаться 要図 (ようず) — эскиз;Женщина (女) опустила проекционный экран на западной (西) стене, чтобы обозначить три КЛЮЧЕВЫЕ ПУНКТА.
存;そん, ぞん;предполагать, знать о, верить;保存 (ほぞん) — сохранение 存在 (そんざい) — существование;Когда у людей появляются дети (子), они ОСОЗНАЮТ важность поднятия на один (一) новый и более высокий уровень.
孝;こう;сыновняя почтительность, уважение к старшим;孝行 (こうこう) — сыновняя почтительность 親不孝 (おやふこう) — непочтительный к родителям;На фестивале Обон японцы идут к земле (土), которую пахали их родители и деды, чтобы ребёнок (子) показал УВАЖЕНИЕ К СТАРШИМ.
字;あざ, じ;символ, буква, участок деревни;漢字 (かんじ) — китайский иероглиф 文字 (もじ) — буква [алфавита] 沼館字 (ぬまたてあざ) — участок [города] Нумататэ;Ребёнок (子) под крышей дома сначала учится писать свои БУКВЫ и СИМВОЛЫ.
季;き;сезон;季節 (きせつ) — сезон 四季 (しき) — четыре сезона;Роскошные деревья (禾) хороши для детей (子), чтобы учиться о СЕЗОНАХ.
学;まな(ぶ), がく;учить, обучение;学ぶ (まなぶ) — учить 学校 (がっこう) — школа;Три крупицы знаний просачиваются через крышу над ребёнком (子), чтобы он УЧИЛСЯ.
教;おし(える), きょう;учить, вера, доктрина;教える (おしえる) — учить 教科書 (きょうかしょ) — учебник;Ломают землю (土), чтобы построить место, где УЧАТ детей за столами.
営;いとな(む), えい;занятие, вести, проводить (бизнес);営業 (えいぎょう) — бизнес, торговля 営む (いとなむ) — вести бизнес, проводить [церемонию];Чтобы ВЕСТИ хороший бизнес, под крышей должно пройти хотя бы три этапа обучения, чтобы рты (口) ВЫСТУПАЛИ в один голос.
径;けい;диаметр, путь, метод;直径 (ちゅうけい) — диаметр 半径 (はんけい) — радиус;Человек в движении (彳) обходит стол, чтобы измерить ДИАМЕТР ПУТИ в земле (土).
役;やく, えき;служба, роль, обязанность;役に立つ (やくにたつ) — быть полезным 使役 (しえき) — использование;Люди в движении (彳) выполняют свою ОБЯЗАННОСТЬ лучше, чем тот, кто закинул ноги на стол.
往;おう;путешествие, отгонять, отпускать, идти, поездка;往復 (おうふく) — туда-обратно;Много людей в движении (彳) сопровождали господина (主) в его ПУТЕШЕСТВИИ или ПОЕЗДКЕ.
律;りつ, りち;ритм, закон, регулирование, контроль;法律 (ほうりつ) — закон;Человек в движении (彳) использует кисть (聿), чтобы записывать ЗАКОНЫ.
待;ま(つ), ま(ち), たい;ждать;待つ (まつ) — ждать 待ち (まち) — ожидание 招待 (しょうたい) — приглашение;Человек в движении (彳) ЖДЁТ у храма (寺).
得;え(る), う(る), とく;получать, мочь;あり得ない (ありえない) — невозможно 得る (うる/える) — мочь 得意 (とくい) — сильная сторона;Человек в движении (彳) с восходом солнца (日) измеряет (寸), что он может ПОЛУЧИТЬ в грядущий день.
術;じゅつ;искусство, техника, мастерство;芸術 (げいじゅつ) — искусство 美術 (びじゅつ) — изобразительное искусство;Человек в движении (彳) рисует катакану ホ, демонстрируя своё МАСТЕРСТВО ИСКУССТВА рядом с вывеской о продаже.
彼;かれ, かの, ひ;он, тот;彼 (かれ) — он 彼女 (かのじょ) — она 彼岸 (ひがん) — равноденствие;ОН останавливается у утёса (厂) и замечает, что к нему теперь прикреплён стол.
徊;さまよ(う), かい;блуждать;徘徊 (はいかい) — слоняться, бродить 彷徨 (ほうこう) — бесцельно ходить;Человек в движении (彳) иногда много раз (回) обходит рот, когда БЛУЖДАЕТ.
後;のち, うし(ろ), あと, ご, こう;позади, назад, позже;後ほど (のちほど) — позже 後ろ (うしろ) — сзади 後 (あと) — после 午後 (ごご) — после полудня;Этот человек в движении (彳) идёт ПОЗАДИ складного стола, чтобы продеть (糸) нитку в иголку.
徳;とく;этика, добродетель;美徳 (びとく) — добродетель 道徳 (どうとく) — мораль;Человек в движении (彳) с хорошей ЭТИКОЙ смотрит (目) на вещи десять (十) раз со всех сторон и использует ДОБРОДЕТЕЛЬНОЕ сердце (心) для решений.
従;したが(う), じゅう;сопровождать, подчиняться, покоряться;従う (したがう) — соблюдать [правила] 服従 (ふくじゅう) — подчинение;Человек в движении (彳) ПОДЧИНЯЕТСЯ верхним светофорам, идя пешком (足).
街;まち, がい, かい;бульвар, улица, город;街路 (がいろ) — шоссе, главная дорога 街中 (まちなか) — в городе, в центре;Человек в движении (彳) идёт по БУЛЬВАРУ в ГОРОДЕ, где земля (土) с рекламными щитами.
徒;と;спутники, люди, пешком;徒歩 (とほ) — пешком キリスト教徒 (きりすときょうと) — христиане 生徒 (せいと) — ученик;Человек в движении идёт ПЕШКОМ по земле (土).
植;う(える), しょく;"сажать (растение); растение";植える (うえる - сажать) 植物 (しょくぶつ - растение);Деревья (木) сажают и подрезают или фиксируют (直) их как бонсай, обрезая каждый по крайней мере десять (十) раз, следя глазом (目) за их видом на полке.
米;こめ, べい, まい;"рис; США";米 (こめ - невареный рис) 米国 (べいこく - США) 外米 (がいまい - иностранный рис);Зёрна РИСА появляются из рисового растения, когда листья начинают сгибаться вниз, как ветви дерева (木).
粉;こ, こな, ふん;мука, порошок;小麦粉 (こむぎこ - мука) 粉 (こな - порошок) 花粉 (かふん - пыльца);Рис (米) измельчают в более мелкие части (分) мечом (刀), чтобы сделать МУКУ или ПОРОШОК.
料;りょう;плата, материалы;材料 (ざいりょう - материалы) 料理 (りょうり - кухня) 無料 (むりょう - бесплатно);Ключевой МАТЕРИАЛ при приготовлении риса (米) - это мерный контейнер (斗).
木;き, もく, ぼく;дерево, древесина;木曜日 (もくようび - четверг);Это ДЕРЕВО с перекрестной ветвью и двумя свисающими ветвями.
本;もと, ほん;книга, происхождение, основной, истинный;本 (ほん - книга) 本物 (ほнもの - подлинная вещь) 熊本県 (くまもとけん - префектура Кумамото);ПРОИСХОЖДЕНИЕ дерева можно обнаружить в его корнях.
林;はやし, りん;роща, лес;林 (はやし - лес) 小林 (こばやし - фамилия Кобаяси) 農林 (のうりん - сельское и лесное хозяйство);Пара деревьев растёт в маленькой РОЩЕ или ЛЕСУ.
